t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.22000000000000006,-18.0,-18.0,2.8872902025396354,-18.0,-18.0,3.0,-2.69580684926531e-17,-3.0562683588210744e-18,-0.5367855270365758,0.0,0.0,0.0,4.171778704001895e-19,-3.0552881002382476e-17,3.6156818349728766e-18,777.4403412863547,777.4403412863547,777.4403412863547,777.4403412863547,777.4403412863546,777.4403412863546,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,7.085023918052295e-17,7.989116973836107e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.010559124980123123,0
0.23000000000000007,-18.0,-18.0,2.8819846010114993,-18.0,-18.0,3.0,-3.0419933729290043e-17,-3.4640552660025144e-18,-0.5242644187306645,0.0,0.0,0.0,4.110114336579023e-19,-3.239635450240852e-17,3.8163729196907205e-18,778.9286710528264,778.9286710528264,778.9286710528264,778.9286710528264,778.9286710528263,778.9286710528263,785.6510608512957,785.6510608512957,785.6510608512957,785.6510608512957,785.6510608512956,785.6510608512956,8.052857059753087e-17,9.129620038074951e-18,13.51772220822718,13.51772220822718,0.0,0.0,-0.01168622295472677,0
0.24000000000000007,-18.0,-18.0,2.8768060996529714,-18.0,-18.0,3.0,-3.410378306840982e-17,-3.8740303507615414e-18,-0.5113859255895865,0.0,0.0,0.0,4.453501237767058e-19,-3.440129765615895e-17,3.827466409286861e-18,779.9856303303098,779.9856303303098,779.9856303303098,779.9856303303098,779.9856303303097,779.9856303303097,784.7596343342722,784.7596343342722,784.7596343342722,784.759634334272,784.759634334272,784.759634334272,9.086978102896931e-17,1.0347752440723117e-17,13.48706427260208,13.48706427260208,0.0,0.0,-0.012866376944611777,0
0.25000000000000006,-18.0,-18.0,2.8717576965228173,-18.0,-18.0,3.0,-3.802604178358738e-17,-4.284719762680666e-18,-0.4982618738602834,0.0,0.0,0.0,4.912854809797414e-19,-3.6516264621180735e-17,3.653701249892974e-18,780.6827716134708,780.6827716134708,780.6827716134708,780.6827716134708,780.6827716134707,780.6827716134707,783.8315734150518,783.8315734150518,783.8315734150518,783.8315734150518,783.8315734150518,783.8315734150518,1.0187409766451841e-16,1.1572421321034166e-17,13.455183387062712,13.455183387062712,0.0,0.0,-0.014098315948082063,0
0.26000000000000006,-18.0,-18.0,2.8668413657906973,-18.0,-18.0,3.0,-4.218733613400712e-17,-4.641231348081195e-18,-0.48498571296637855,0.0,0.0,0.0,5.067086451646601e-19,-3.865498904577016e-17,2.42034836641654e-18,781.0803991587832,781.0803991587832,781.0803991587832,781.0803991587832,781.080399158783,781.080399158783,782.8763770491771,782.8763770491771,782.8763770491771,782.876377049177,782.876377049177,782.876377049177,1.13590585733129e-16,1.2799224024291666e-17,13.422409736142027,13.422409736142027,0.0,0.0,-0.01538073898285389,0
0.2700000000000001,-18.0,-18.0,2.862058227347924,-18.0,-18.0,3.0,-4.658711817793203e-17,-4.850126681388461e-18,-0.47163527753481993,0.0,0.0,0.0,5.300758111362193e-19,-4.081086063104713e-17,1.269504369265563e-18,781.229331913164,781.229331913164,781.229331913164,781.229331913164,781.2293319131638,781.2293319131638,781.902021562502,781.902021562502,781.902021562502,781.9020215625019,781.9020215625019,781.9020215625019,1.2602111598295783e-16,1.3864187872928979e-17,13.389019891985242,13.389019891985242,0.0,0.0,-0.016712325324946917,0
0.2800000000000001,-18.0,-18.0,2.8574086907886076,-18.0,-18.0,3.0,-5.1226068000189153e-17,-4.910248064667611e-18,-0.4582751596490993,0.0,0.0,0.0,5.269362291528076e-19,-4.296178331066678e-17,-1.6474444110924159e-19,781.1723882383022,781.1723882383022,781.1723882383022,781.1723882383021,781.1723882383021,781.1723882383021,780.9151888006496,780.9151888006496,780.9151888006496,780.9151888006495,780.9151888006495,780.9151888006495,1.3916405161406642e-16,1.4488195583285285e-17,13.355244852980231,13.355244852980231,0.0,0.0,-0.018091743051467678,0
0.2900000000000001,-18.0,-18.0,2.852892577414527,-18.0,-18.0,3.0,-5.611951003223281e-17,-4.8088156626650896e-18,-0.44495873963553045,0.0,0.0,0.0,6.157783333097534e-19,-4.5772995275147035e-17,-1.2718127132886539e-18,780.9456369411419,780.9456369411419,780.9456369411419,780.9456369411417,780.9456369411417,780.9456369411417,779.9214616265308,779.9214616265308,779.9214616265308,779.9214616265307,779.9214616265307,779.9214616265307,1.5302142416142992e-16,1.4667788904636764e-17,13.321276950094042,13.321276950094042,0.0,0.0,-0.019517656143581603,0
0.3000000000000001,-18.0,-18.0,2.8485092234525915,-18.0,-18.0,3.0,-6.137126665274574e-17,-4.620150163270134e-18,-0.4317299198468457,0.0,0.0,0.0,9.2897053598218e-19,-4.952122289873504e-17,-2.0014745762563493e-18,780.5794518258067,780.5794518258067,780.5794518258067,780.5794518258066,780.5794518258066,780.5794518258066,778.9254910308705,778.9254910308705,778.9254910308705,778.9254910308705,778.9254910308705,778.9254910308705,1.6763901044175807e-16,1.4364792184090436e-17,13.287275760651248,13.287275760651248,0.0,0.0,-0.020988730369436333,0
0.3100000000000001,-18.0,-18.0,2.844257567250529,-18.0,-18.0,3.0,-6.707106237529276e-17,-4.340170527239282e-18,-0.41862460158170617,0.0,0.0,0.0,1.2177544532388526e-18,-5.3592957292654514e-17,-2.8900688148058686e-18,780.0994009318647,780.0994009318647,780.0994009318647,780.0994009318645,780.0994009318645,780.0994009318645,777.9311386926214,777.9311386926214,777.9311386926214,777.9311386926212,777.9311386926212,777.9311386926212,1.8332694646326063e-16,1.3801214604654964e-17,13.253373158392401,13.253373158392401,0.0,0.0,-0.02250363813491042,0
0.3200000000000001,-18.0,-18.0,2.8401362228371716,-18.0,-18.0,3.0,-7.323459702536962e-17,-3.982750182396296e-18,-0.4056719408616572,0.0,0.0,0.0,1.5378321617811307e-18,-5.852189140165808e-17,-3.071153261243669e-18,779.5269965921484,779.5269965921484,779.5269965921484,779.5269965921482,779.5269965921482,779.5269965921482,776.941598395732,776.941598395732,776.941598395732,776.9415983957318,776.9415983957318,776.9415983957318,2.0035325539039027e-16,1.2964865372434339e-17,13.21967761625795,13.21967761625795,0.0,0.0,-0.02406106246240513,0
0.3300000000000001,-18.0,-18.0,2.8361435418980383,-18.0,-18.0,3.0,-7.99958145934284e-17,-3.702605821854109e-18,-0.3928954145168165,0.0,0.0,0.0,1.898523173686433e-18,-6.42780866055893e-17,-2.1039738368223523e-18,778.8803282490802,778.8803282490802,778.8803282490802,778.8803282490801,778.88032824908,778.88032824908,775.9594992968109,775.9594992968109,775.9594992968109,775.9594992968109,775.9594992968108,775.9594992968108,2.1876483540897766e-16,1.1897186896859341e-17,13.186277865622166,13.186277865622166,0.0,0.0,-0.025659700234033415,0
0.34000000000000014,-18.0,-18.0,2.8322776659226165,-18.0,-18.0,3.0,-8.7392150638751e-17,-3.567305820383658e-18,-0.38031372404377134,0.0,0.0,0.0,2.199875564080106e-18,-6.991306463095732e-17,-2.8329418972467405e-19,778.1745964652141,778.1745964652141,778.1745964652141,778.174596465214,778.1745964652139,778.1745964652139,774.9869936562181,774.9869936562183,774.9869936562183,774.9869936562183,774.986993656218,774.986993656218,2.3896180116722824e-16,1.106034560307118e-17,13.153246003365034,13.153246003365034,0.0,0.0,-0.02729826481505303,0
0.35000000000000014,-18.0,-18.0,2.8285365700235974,-18.0,-18.0,3.0,-9.535740965997278e-17,-3.662408480019597e-18,-0.36794156106198456,0.0,0.0,0.0,2.435907013795824e-18,-7.519080466151374e-17,2.2011972307335628e-18,777.4225636326386,777.4225636326386,777.4225636326386,777.4225636326385,777.4225636326383,777.4225636326383,774.0258312983759,774.0258312983759,774.0258312983759,774.0258312983759,774.0258312983758,774.0258312983758,2.6105597937406626e-16,1.0656180307503784e-17,13.120640126625403,13.120640126625403,0.0,0.0,-0.028975488155826866,0
0.36000000000000015,-18.0,-18.0,2.824918099706683,-18.0,-18.0,3.0,-1.0386238009922299e-16,-4.0534883405244235e-18,-0.3557902549332669,0.0,0.0,0.0,2.7182542244428365e-18,-8.010409156244631e-17,5.244166325052936e-18,776.634934429948,776.634934429948,776.634934429948,776.634934429948,776.6349344299477,776.6349344299477,773.0774227571849,773.077422757185,773.077422757185,773.077422757185,773.0774227571848,773.0774227571848,2.8484963223138754e-16,1.0940268955864956e-17,13.088506564533914,13.088506564533914,0.0,0.0,-0.03069012245559089,0
0.37000000000000016,-18.0,-18.0,2.8214200016786974,-18.0,-18.0,3.0,-1.1286668216372287e-16,-4.7908786439828225e-18,-0.34386832022032554,0.0,0.0,0.0,2.8801562613225037e-18,-8.435287932157066e-17,8.434639629200027e-18,775.8206770150891,775.8206770150891,775.8206770150891,775.8206770150891,775.8206770150889,775.8206770150889,772.1428927885786,772.1428927885787,772.1428927885787,772.1428927885787,772.1428927885786,772.1428927885786,3.1025549959290597e-16,1.2108494422927563e-17,13.056881766757723,13.056881766757723,0.0,0.0,-0.03244094145852406,0
